SIC,Industry,Sector,Division
3084,Plastics Pipe,Rubber And Miscellaneous Plastics Products,Manufacturing
3085,Plastics Bottles,Rubber And Miscellaneous Plastics Products,Manufacturing
3086,Plastics Foam Products,Rubber And Miscellaneous Plastics Products,Manufacturing
3087,Custom Compounding of Purchased Plastics Resins,Rubber And Miscellaneous Plastics Products,Manufacturing
3088,Plastics Plumbing Fixtures,Rubber And Miscellaneous Plastics Products,Manufacturing
3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Manufacturing
3111,Leather Tanning and Finishing,Leather And Leather Products,Manufacturing
3131,Boot and Shoe Cut Stock and Findings,Leather And Leather Products,Manufacturing
3142,House Slippers,Leather And Leather Products,Manufacturing
3143,"Men's Footwear, Except Athletic",Leather And Leather Products,Manufacturing
3144,"Women's Footwear, Except Athletic",Leather And Leather Products,Manufacturing
3149,"Footwear, Except Rubber, Not Elsewhere Classified",Leather And Leather Products,Manufacturing
3151,Leather Gloves and Mittens,Leather And Leather Products,Manufacturing
3161,Luggage,Leather And Leather Products,Manufacturing
3171,Women's Handbags and Purses,Leather And Leather Products,Manufacturing
3172,"Personal Leather Goods, Except Women's Handbags and Purses",Leather And Leather Products,Manufacturing
3199,"Leather Goods, Not Elsewhere Classified",Leather And Leather Products,Manufacturing
3211,Flat Glass,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3221,Glass Containers,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3229,"Pressed and Blown Glass and Glassware, Not Elsewhere Classified","Stone, Clay, Glass, And Concrete Products",Manufacturing
3231,"Glass Products, Made of Purchased Glass","Stone, Clay, Glass, And Concrete Products",Manufacturing
3241,"Cement, Hydraulic","Stone, Clay, Glass, And Concrete Products",Manufacturing
3251,Brick and Structural Clay Tile,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3253,Ceramic Wall and Floor Tile,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3255,Clay Refractories,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3259,"Structural Clay Products, Not Elsewhere Classified","Stone, Clay, Glass, And Concrete Products",Manufacturing
3261,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3262,Vitreous China Table and Kitchen Articles,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3263,Fine Earthenware (Whiteware) Table and Kitchen Articles,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3264,Porcelain Electrical Supplies,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3269,"Pottery Products, Not Elsewhere Classified","Stone, Clay, Glass, And Concrete Products",Manufacturing
3271,Concrete Block and Brick,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",Manufacturing
3273,Ready-Mixed Concrete,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3274,Lime,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3275,Gypsum Products,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3281,Cut Stone and Stone Products,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3291,Abrasive Products,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3292,Asbestos Products,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3295,"Minerals and Earths, Ground or Otherwise Treated","Stone, Clay, Glass, And Concrete Products",Manufacturing
3296,Mineral Wool,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3297,Nonclay Refractories,"Stone, Clay, Glass, And Concrete Products",Manufacturing
3299,"Nonmetallic Mineral Products, Not Elsewhere Classified","Stone, Clay, Glass, And Concrete Products",Manufacturing
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",Primary Metal Industries,Manufacturing
3313,"Electrometallurgical Products, Except Steel",Primary Metal Industries,Manufacturing
3315,Steel Wiredrawing and Steel Nails and Spikes,Primary Metal Industries,Manufacturing
3316,"Cold-Rolled Steel Sheet, Strip, and Bars",Primary Metal Industries,Manufacturing
3317,Steel Pipe and Tubes,Primary Metal Industries,Manufacturing
3321,Gray and Ductile Iron Foundries,Primary Metal Industries,Manufacturing
3322,Malleable Iron Foundries,Primary Metal Industries,Manufacturing
3324,Steel Investment Foundries,Primary Metal Industries,Manufacturing
3325,"Steel Foundries, Not Elsewhere Classified",Primary Metal Industries,Manufacturing
3331,Primary Smelting and Refining of Copper,Primary Metal Industries,Manufacturing
3334,Primary Production of Aluminum,Primary Metal Industries,Manufacturing
3339,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum",Primary Metal Industries,Manufacturing
3341,Secondary Smelting and Refining of Nonferrous Metals,Primary Metal Industries,Manufacturing
3351,"Rolling, Drawing, and Extruding Of Copper",Primary Metal Industries,Manufacturing
3353,"Aluminum Sheet, Plate, and Foil",Primary Metal Industries,Manufacturing
3354,Aluminum Extruded Products,Primary Metal Industries,Manufacturing
3355,"Aluminum Rolling and Drawing, Not Elsewhere Classified",Primary Metal Industries,Manufacturing
3356,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum",Primary Metal Industries,Manufacturing
3357,Drawing and Insulating of Nonferrous Wire,Primary Metal Industries,Manufacturing
3363,Aluminum Die-Castings,Primary Metal Industries,Manufacturing
3364,"Nonferrous Die-Castings, Except Aluminum",Primary Metal Industries,Manufacturing
3365,Aluminum Foundries,Primary Metal Industries,Manufacturing
3366,Copper Foundries,Primary Metal Industries,Manufacturing
3369,"Nonferrous Foundries, Except Aluminum and Copper",Primary Metal Industries,Manufacturing
3398,Metal Heat Treating,Primary Metal Industries,Manufacturing
3399,"Primary Metal Products, Not Elsewhere Classified",Primary Metal Industries,Manufacturing
3411,Metal Cans,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3412,"Metal Shipping Barrels, Drums, Kegs, and Pails","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3421,Cutlery,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3423,"Hand and Edge Tools, Except Machine Tools and Handsaws","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3425,Saw Blades and Handsaws,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3429,"Hardware, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3431,Enameled Iron and Metal Sanitary Ware,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3432,Plumbing Fixture Fittings and Trim,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3433,"Heating Equipment, Except Electric and Warm Air Furnaces","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3441,Fabricated Structural Metal,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3442,"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3443,Fabricated Plate Work (Boiler Shops),"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3444,Sheet Metal Work,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3446,Architectural and Ornamental Metal Work,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3448,Prefabricated Metal Buildings and Components,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3449,Miscellaneous Structural Metal Work,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3451,Screw Machine Products,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3452,"Bolts, Nuts, Screws, Rivets, and Washers","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3462,Iron and Steel Forgings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3463,Nonferrous Forgings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3465,Automotive Stampings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3466,Crowns and Closures,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3469,"Metal Stampings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3471,"Electroplating, Plating, Polishing, Anodizing, and Coloring","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3479,"Coating, Engraving, and Allied Services, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3482,Small Arms Ammunition,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3483,"Ammunition, Except for Small Arms","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3484,Small Arms,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3489,"Ordnance and Accessories, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3491,Industrial Valves,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3492,Fluid Power Valves and Hose Fittings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3493,"Steel Springs, Except Wire","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3494,"Valves and Pipe Fittings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3495,Wire Springs,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3496,Miscellaneous Fabricated Wire Products,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3497,Metal Foil and Leaf,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3498,Fabricated Pipe and Pipe Fittings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3499,"Fabricated Metal Products, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing
3511,"Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3519,"Internal Combustion Engines, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3523,Farm Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3524,Lawn and Garden Tractors and Home Lawn and Garden Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3531,Construction Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3532,"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3533,Oil and Gas Field Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3534,Elevators and Moving Stairways,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3535,Conveyors and Conveying Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3536,"Overhead Traveling Cranes, Hoists, and Monorail Systems",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3537,"Industrial Trucks, Tractors, Trailers, and Stackers",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3541,"Machine Tools, Metal Cutting Types",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3542,"Machine Tools, Metal Forming Types",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3543,Industrial Patterns,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3544,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3545,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3546,Power-Driven Handtools,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3547,Rolling Mill Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3548,Electric and Gas Welding and Soldering Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3549,"Metalworking Machinery, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3552,Textile Machinery,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3553,Woodworking Machinery,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3554,Paper Industries Machinery,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3555,Printing Trades Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3556,Food Products Machinery,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3559,"Special Industry Machinery, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3561,Pumps and Pumping Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3562,Ball and Roller Bearings,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3563,Air and Gas Compressors,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3564,Industrial and Commercial Fans and Blowers and Air Purification Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3565,Packaging Machinery,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3566,"Speed Changers, Industrial High-Speed Drives, and Gears",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3567,Industrial Process Furnaces and Ovens,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3568,"Mechanical Power Transmission Equipment, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3569,"General Industrial Machinery and Equipment, Not Elsewhere",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3571,Electronic Computers,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3572,Computer Storage Devices,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3575,Computer Terminals,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3577,"Computer Peripheral Equipment, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3578,"Calculating and Accounting Machines, Except Electronic Computers",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3579,"Office Machines, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3581,Automatic Vending Machines,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3582,"Commercial Laundry, Drycleaning, and Pressing Machines",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3585,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3586,Measuring and Dispensing Pumps,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3589,"Service Industry Machinery, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3592,"Carburetors, Pistons, Piston Rings, and Valves",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3593,Fluid Power Cylinders and Actuators,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3594,Fluid Power Pumps and Motors,Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3596,"Scales and Balances, Except Laboratory",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3599,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Manufacturing
3612,"Power, Distribution, and Specialty Transformers","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3613,Switchgear and Switchboard Apparatus,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3621,Motors and Generators,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3624,Carbon and Graphite Products,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3625,Relays and Industrial Controls,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3629,"Electrical Industrial Apparatus, Not Elsewhere Classified","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3631,Household Cooking Equipment,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3632,Household Refrigerators and HOme and Farm Freezers,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3633,Household Laundry Equipment,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3634,Electric Housewares and Fans,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3635,Household Vacuum Cleaners,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3639,"Household Appliances, Not Elsewhere Classified","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3641,Electric Lamp Bulbs and Tubes,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3643,Current-Carrying Wiring Devices,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3644,Noncurrent-Carrying Wiring Devices,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3645,Residential Electric Lighting Fixtures,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3646,"Commercial, Industrial, and Institutional Electric Lighting Fixtures","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3647,Vehicular Lighting Equipment,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3648,"Lighting Equipment, Not Elsewhere Classified","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3651,Household Audio and Video Equipment,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3652,Phonograph Records and Prerecorded Audio Tapes and Disks,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3661,Telephone and Telegraph Apparatus,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3663,Radio and Television Broadcasting and Communications Equipment,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3669,"Communications Equipment, Not Elsewhere Classified","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3671,Electron Tubes,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3672,Printed Circuit Boards,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3674,Semiconductors and Related Devices,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3675,Electronic Capacitors,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3676,Electronic Resistors,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3677,"Electronic Coils, Transformers, and Other Inductors","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3678,Electronic Connectors,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3679,"Electronic Components, Not Elsewhere Classified","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3691,Storage Batteries,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3692,"Primary Batteries, Dry and Wet","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3694,Electrical Equipment for Internal Combustion Engines,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3695,Magnetic And Optical Recording Media,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3699,"Electrical Machinery, Equipment, and Supplies, Not Elsewhere","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing
3711,Motor Vehicles and Passenger Car Bodies,Transportation Equipment,Manufacturing
3713,Truck and Bus Bodies,Transportation Equipment,Manufacturing
3714,Motor Vehicle Parts and Accessories,Transportation Equipment,Manufacturing
3715,Truck Trailers,Transportation Equipment,Manufacturing
3716,Motor Homes,Transportation Equipment,Manufacturing
3721,Aircraft,Transportation Equipment,Manufacturing
3724,Aircraft Engines and Engine Parts,Transportation Equipment,Manufacturing
3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",Transportation Equipment,Manufacturing
3731,Ship Building and Repairing,Transportation Equipment,Manufacturing
3732,Boat Building and Repairing,Transportation Equipment,Manufacturing
3743,Railroad Equipment,Transportation Equipment,Manufacturing
3751,"Motorcycles, Bicycles, and Parts",Transportation Equipment,Manufacturing
3761,Guided Missiles and Space Vehicles,Transportation Equipment,Manufacturing
3764,Guided Missile and Space Vehicle Propulsion Units and Propulsion Unit Parts,Transportation Equipment,Manufacturing
3769,"Guided Missile Space Vehicle Parts and Auxiliary Equipment, Not Elsewhere Classified",Transportation Equipment,Manufacturing
3792,Travel Trailers and Campers,Transportation Equipment,Manufacturing
3795,Tanks and Tank Components,Transportation Equipment,Manufacturing
3799,"Transportation Equipment, Not Elsewhere Classified",Transportation Equipment,Manufacturing
3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments","Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3821,Laboratory Apparatus and Furniture,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3822,Automatic Controls for Regulating Residential and Commercial Environments and Appliances,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3823,"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products","Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3824,Totalizing Fluid Meters and Counting Devices,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3825,Instruments for Measuring and Testing of Electricity and Electrical Signals,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3826,Laboratory Analytical Instruments,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3827,Optical Instruments and Lenses,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3829,"Measuring and Controlling Devices, Not Elsewhere Classified","Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3841,Surgical and Medical Instruments and Apparatus,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies","Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3843,Dental Equipment and Supplies,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3844,X-Ray Apparatus and Tubes and Related Irradiation Apparatus,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3845,Electromedical and Electrotherapeutic Apparatus,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3851,Ophthalmic Goods,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3861,Photographic Equipment and Supplies,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3873,"Watches, Clocks, Clockwork Operated Devices, and Parts","Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing
3911,"Jewelry, Precious Metal",Miscellaneous Manufacturing Industries,Manufacturing
3914,"Silverware, Plated Ware, and Stainless Steel Ware",Miscellaneous Manufacturing Industries,Manufacturing
3915,"Jewelers' Findings and Materials, and Lapidary Work",Miscellaneous Manufacturing Industries,Manufacturing
3931,Musical Instruments,Miscellaneous Manufacturing Industries,Manufacturing
3942,Dolls and Stuffed Toys,Miscellaneous Manufacturing Industries,Manufacturing
3944,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles",Miscellaneous Manufacturing Industries,Manufacturing
3949,"Sporting and Athletic Goods, Not Elsewhere Classified",Miscellaneous Manufacturing Industries,Manufacturing
3951,"Pens, Mechanical Pencils, and Parts",Miscellaneous Manufacturing Industries,Manufacturing
3952,"Lead Pencils, Crayons, and Artists' Materials",Miscellaneous Manufacturing Industries,Manufacturing
3953,Marking Devices,Miscellaneous Manufacturing Industries,Manufacturing
3955,Carbon Paper and Inked Ribbons,Miscellaneous Manufacturing Industries,Manufacturing
3961,"Costume Jewelry and Costume Novelties, Except Precious Metal",Miscellaneous Manufacturing Industries,Manufacturing
3965,"Fasteners, Buttons, Needles, and Pins",Miscellaneous Manufacturing Industries,Manufacturing
3991,Brooms and Brushes,Miscellaneous Manufacturing Industries,Manufacturing
3993,Signs and Advertising Specialties,Miscellaneous Manufacturing Industries,Manufacturing
3995,Burial Caskets,Miscellaneous Manufacturing Industries,Manufacturing
3996,"Linoleum, Asphalted-Felt-Base, and Other Hard Surface Floor Coverings, Not Elsewhere Classified",Miscellaneous Manufacturing Industries,Manufacturing
3999,"Manufacturing Industries, Not Elsewhere Classified",Miscellaneous Manufacturing Industries,Manufacturing
4011,"Railroads, Line-Haul Operating",Railroad Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4013,Railroad Switching and Terminal Establishments,Railroad Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4111,Local and Suburban Transit,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4119,"Local Passenger Transportation, Not Elsewhere Classified",Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4121,Taxicabs,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4131,Intercity and Rural Bus Transportation,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4141,Local Bus Charter Service,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4142,"Bus Charter Service, Except Local",Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4151,School Buses,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4173,Terminal and Service Facilities for Motor Vehicle Passenger Transportation,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4212,Local Trucking Without Storage,Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4214,Local Trucking With Storage,Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4215,"Courier Services, Except by Air",Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4221,Farm Product Warehousing and Storage,Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4222,Refrigerated Warehousing and Storage,Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4225,General Warehousing and Storage,Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4226,"Special Warehousing and Storage, Not Elsewhere Classified",Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4231,Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation,Motor Freight Transportation And Warehousing,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4311,United States Postal Service,United States Postal Service,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4412,Deep Sea Foreign Transportation of Freight,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4424,Deep Sea Domestic Transportation of Freight,Water Transportation,"Transportation, Communications, Electric, Gas, And Sanitary Services"
